HIP	Cst	Bayer
34339	Pup	D    
34444	CMa	del  
34752	Aur	     
34693	Gem	tau  
34722	Gem	     
34622	Mon	     
34495	Pup	A    
34819	Gem	     
34724	Mon	     
34861	Gem	     
34769	Mon	del  
35146	Lyn	     
34909	Gem	     
34798	CMa	     
35025	Gem	     
34802	Pup	E    
34473	Vol	gam01
34481	Vol	gam02
35152	Gem	     
34834	Pup	I    
36547	Cam	VZ   
35080	Mon	     
34981	CMa	     
34899	Pup	L01  
34922	Pup	L02  
35037	CMa	ome  
35341	Aur	     
35350	Gem	lam  
35210	CMa	     
35735	Cam	     
35264	Pup	pi.  
35550	Gem	del  
35412	CMa	UW   
35415	CMa	tau  
35726	Lyn	     
35783	Lyn	     
35785	Lyn	     
35363	Pup	v01  
35487	CMa	R    
35347	Pup	M    
35406	Pup	v02  
35393	Pup	F    
35710	Aur	     
35699	Gem	     
35228	Vol	del  
35907	Aur	     
35846	Gem	A    
35842	Gem	     
35941	Gem	     
36145	Lyn	     
35987	CMi	     
36046	Gem	iot  
35904	CMa	eta  
36041	CMi	eps  
36156	Gem	     
36188	CMi	bet  
36238	Gem	     
36439	Lyn	     
36265	CMi	eta  
36366	Gem	rho  
36284	CMi	gam  
36393	Gem	     
36429	Gem	b    
36425	CMi	     
36363	Pup	y    
36521	Mon	U    
36377	Pup	sig  
36641	CMi	del01
36760	Gem	     
36723	CMi	del02
      	Gem	alf  
36850	Gem	alf  
36812	CMi	del03
36962	Gem	ups  
36817	Pup	n    
      	Pup	n    
36778	Pup	z    
36039	Men	eps  
36917	Pup	p    
37204	Gem	     
37088	Mon	     
37406	Lyn	     
37265	Gem	omi  
36942	Car	Q    
37096	Pup	f    
37300	Gem	f    
37043	Pup	y02  
37279	CMi	alf  
37173	Pup	m    
37609	Lyn	     
37229	Pup	kap01
      	Pup	kap02
37223	Pup	e    
37174	Pup	y03  
37379	Pup	     
37297	Pup	d01  
37322	Pup	d02  
37329	Pup	d03  
37345	Pup	d04  
37447	Mon	alf  
37629	Gem	sig  
37949	Cam	     
37934	Cam	     
37704	Gem	c    
37740	Gem	kap  
37826	Gem	bet  
37811	Gem	     
37648	Pup	     
37677	Pup	l    
37664	Pup	W    
37908	Gem	g    
37921	CMi	     
37842	Pup	     
37843	Pup	     
38016	Gem	pi.  
37891	Pup	     
37819	Pup	c    
37853	Pup	     
38106	Gem	     
37504	Vol	zet  
38048	Pup	     
38070	Pup	omi  
38146	Pup	     
38211	Pup	     
